author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Брусника,developer,https://novosibirsk.cian.ru/sale/flat/296750688/,Новосибирск,sale,flat,8,15,3,82.73,-1,0,11520000,Заельцовский, Аэропорт,88,Заельцовская,Авиатор
Strizhi trade-in,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/299443525/,Новосибирск,sale,flat,10,10,1,39.3,-1,0,4650000,Заельцовский,Кубовая ,115,Заельцовская,
Новактив,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/291185842/,Новосибирск,sale,flat,5,10,2,58.1,-1,0,6000000,Октябрьский, Виталия Потылицына,1,Золотая Нива,Плющихинский
Брусника,developer,https://novosibirsk.cian.ru/sale/flat/296750709/,Новосибирск,sale,flat,3,15,3,79.95,-1,0,10890000,Заельцовский, Аэропорт,88,Заельцовская,Авиатор
ИП Павлова И. В.,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/298404137/,Новосибирск,sale,flat,10,10,2,51.8,-1,0,4500000,Калининский, Земнухова,4,Заельцовская,Мкрн. Родники
Агентство недвижимости Буравлёвой Эллы,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/298818382/,Новосибирск,sale,flat,7,9,2,38.0,-1,0,5120000,Калининский, Дунаевского,14/3,Заельцовская,Дунаевский
Брусника,developer,https://novosibirsk.cian.ru/sale/flat/296750706/,Новосибирск,sale,flat,2,15,3,80.88,-1,0,11010000,Заельцовский, Аэропорт,88,Заельцовская,Авиатор
ИнтерАктив,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/303538355/,Новосибирск,sale,flat,1,9,1,30.6,-1,0,5290000,Центральный, Максима Горького,104,Площадь Ленина,
Сфера,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/302797480/,Новосибирск,sale,flat,12,12,2,41.0,-1,0,5500000,Первомайский, Заречная,61,Площадь Ленина,
Первый Строительный Фонд,developer,https://novosibirsk.cian.ru/sale/flat/304235693/,Новосибирск,sale,flat,5,7,1,37.5,-1,0,4605500,Октябрьский,,,Речной вокзал,по ул. Большевистская
Квартирный портал,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/297396122/,Новосибирск,sale,flat,7,9,2,47.0,-1,0,10100000,Заельцовский,Красный проспект,222/2,Заельцовская,Красный проспект
Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/303605809/,Новосибирск,sale,flat,5,5,1,30.8,-1,0,2490000,Советский,Часовая ,3,Студенческая,
Первый Строительный Фонд,developer,https://novosibirsk.cian.ru/sale/flat/302046013/,Новосибирск,sale,flat,6,20,2,61.98,-1,0,7462400,Октябрьский,,,Речной вокзал,1-й на Рябиновой ЖК
Концерн Сибирь,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/303909867/,Новосибирск,sale,flat,16,16,1,36.8,-1,0,5500000,Дзержинский, Адриена Лежена,31,Золотая Нива,
МАРКОВЪ ДОМЪ,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/299652930/,Новосибирск,sale,flat,7,18,1,40.0,-1,0,3700000,Октябрьский, Ключ-Камышенское плато,26/2,Речной вокзал,Эверест
Первый Строительный Фонд,developer,https://novosibirsk.cian.ru/sale/flat/296514389/,Новосибирск,sale,flat,6,20,3,85.43,-1,0,9230700,Октябрьский,,,Речной вокзал,1-й на Рябиновой ЖК
ИнтерАктив,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/300503660/,Новосибирск,sale,flat,7,11,4,175.0,-1,0,26500000,Заельцовский, Дуси Ковальчук,274,Заельцовская,
Александр Павлов,realtor,https://novosibirsk.cian.ru/sale/flat/299236684/,Новосибирск,sale,flat,3,13,1,38.7,-1,0,3850000,Ленинский, Романтиков,6/1,Красный Проспект,Дивногорский
ПОЛЯКОВ,developer,https://novosibirsk.cian.ru/sale/flat/292264282/,Новосибирск,sale,flat,18,21,2,55.46,-1,0,7250000,Калининский, Тюленина,3,Заельцовская,Характер
ГРАНОВИТ,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/302320366/,Новосибирск,sale,flat,3,12,2,45.0,-1,0,4200000,Ленинский, Пархоменко,26,Площадь Маркса,
Сибмонтажспецстрой,developer,https://novosibirsk.cian.ru/sale/flat/297398282/,Новосибирск,sale,flat,6,28,3,75.74,-1,0,10603600,Заельцовский,,,Площадь Гарина-Михайловского,Бирюзовая жемчужина ЖК
ИнтерАктив,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/300607196/,Новосибирск,sale,flat,1,10,2,67.0,-1,0,7100000,Калининский, Макаренко,52,Заельцовская,
ID 96775206,homeowner,https://novosibirsk.cian.ru/sale/flat/301150555/,Новосибирск,sale,flat,2,5,2,56.5,-1,0,6855000,Кировский, Сибиряков-Гвардейцев,11,Площадь Маркса,
Сибмонтажспецстрой,developer,https://novosibirsk.cian.ru/sale/flat/279447701/,Новосибирск,sale,flat,19,29,1,49.41,-1,0,7164450,Заельцовский,Сухарная ,105/1,Гагаринская,Бирюзовая жемчужина-2
Новактив,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/293075394/,Новосибирск,sale,flat,10,12,1,47.1,-1,0,9000000,Центральный, Семьи Шамшиных,24,Площадь Ленина,
Владис Центральное,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/300265006/,Новосибирск,sale,flat,3,5,2,45.0,-1,0,3300000,Кировский, Зорге,253,Площадь Маркса,
FREEDOM,developer,https://novosibirsk.cian.ru/sale/flat/300274380/,Новосибирск,sale,flat,15,24,1,24.56,-1,0,6140000,Октябрьский,Большевистская ,14,Речной вокзал,Freedom
Strizhi trade-in,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/293633674/,Новосибирск,sale,flat,13,24,1,43.4,-1,0,5720000,Кировский,Тульская ,76,Студенческая,Я-Маяковский
Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/304235410/,Новосибирск,sale,flat,9,24,3,68.9,-1,0,15000000,Октябрьский, Шевченко,19/1,Октябрьская,
Сибмонтажспецстрой,developer,https://novosibirsk.cian.ru/sale/flat/302393825/,Новосибирск,sale,flat,22,23,3,90.9,-1,0,14544000,Калининский,,,Маршала Покрышкина,Калининский квартал ЖК
ИнтерАктив,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/295727586/,Новосибирск,sale,flat,9,9,3,56.6,-1,0,5500000,Ленинский,Широкая ,17,Площадь Маркса,
Всем Квартиру,real_estate_agent,https://novosibirsk.cian.ru/sale/flat/303750252/,Новосибирск,sale,flat,3,5,3,57.9,-1,0,5000000,Кировский, Петухова,136,Площадь Маркса,
